Index,UserId,Song Title,Singer,Movie/Album,Year,Music Director,Language,Rating,Duration_ms
1,1130,Bharat Humko Jaan Se Pyara Hai,"A.R. Rahman, Hariharan",Roja (Original Motion Picture Soundtrack),1994,A.R. Rahman,Hindi,NAN,238373
2,1130,Bharat Humko Jaan Se Pyara Hai - Instrumental,"A.R. Rahman, Hariharan",Roja (Original Motion Picture Soundtrack),1994,A.R. Rahman,Hindi,NAN,214800
3,1161,Ay Hairathe,"A.R. Rahman, Hariharan, Alka Yagnik, Mohammed Aslam",Guru (Original Motion Picture Soundtrack),2006,A.R. Rahman,Hindi,NAN,138913
4,538,"Roja - Version, 2","A.R. Rahman, Hariharan, K. S. Chithra",Roja (Original Motion Picture Soundtrack),1994,A.R. Rahman,Hindi,2,125381
5,183,Wahji Wahji,"A.R. Rahman, Hariharan, Madhushree",Sivaji The Boss (Original Motion Picture Soundtrack),2010,A.R. Rahman,Hindi,3,124016
6,1105,Choti Si Chiraiya,"A.R. Rahman, Kailash Kher",Mimi (Original Motion Picture Soundtrack),2021,"A.R. Rahman, Amitabh Bhattacharya",Hindi,2,124016
7,1262,Aalaporaan Thamizhan,"A.R. Rahman, Kailash Kher, Sathyaprakash, Deepak, Pooja AV",Mersal (Original Motion Picture Soundtrack),2017,A.R. Rahman,Hindi,2,132742
8,183,Ugvali Sukhrachi,Aarati Ankalikar,De Dhakka,2008,Ajit-Atul-Sameer,Marathi,4,181838
9,3757,""" Mera Mai Teri Duniya Jale To Jale""",Aasha Bhosale,Pyar Hi Pyar,1969,Shankar–Jaikishan,Hindi,3,132742
10,3757,""" Sur Mile Hain""",Aasha Bhosale,Dus,1997,Shankar–Ehsaan–Loy,Hindi,4,124016
11,3757,"""""Hey Ambike, Jagadambike, Hey Maa""",Aasha Bhosale,Baawri,1982,Khayyam,Hindi,3,128016
12,3757,"""""Meri Baat Rahi Meri Man Men""",Aasha Bhosale,Sahib Bibi Aur Ghulam,1962,Hemant Kumar,Hindi,3,132742
13,3757,"""Aa Aa Badarwa, Aa Dheere Aa""",Aasha Bhosale,Bahadur,1953,S. Mohinder,Hindi,2,134769
14,3757,"""Aa Devta Tu Apni Pujarin Ke Pas""",Aasha Bhosale,Ab Kya Hoga,1977,Usha Khanna,Hindi,5,124016
